keyword,market,tier,indexed_via,baseline_rank,wk1,wk2,wk3,wk4,wk6,wk8,wk10,wk12,target_wk12,notes
plant identifier,US,head,en-US name,,,,,,,,,,top 10,PictureThis dominant; page-1 first
plant identification,US,head,en-US name (stem),,,,,,,,,,top 15,
plant scanner,US,head,en-US name+kw,,,,,,,,,,top 10,
plant app,US,head,en-US name,,,,,,,,,,top 20,
flower identifier,US,mid,en-US subtitle+kw,,,,,,,,,,top 5,
tree identifier,US,mid,en-US subtitle+kw,,,,,,,,,,top 5,
weed identifier,US,mid,en-US kw+name,,,,,,,,,,top 3,under-optimized by competitors
mushroom identifier,US,mid,en-US kw+name,,,,,,,,,,top 5,safety disclaimer required
leaf identifier,US,mid,en-US kw+name,,,,,,,,,,top 5,
plant care,US,mid,en-US subtitle,,,,,,,,,,top 10,
plant disease,US,mid,es-MX subtitle,,,,,,,,,,top 10,
plant health check,US,long,es-MX subtitle,,,,,,,,,,top 3,
plant diagnosis,US,long,es-MX subtitle,,,,,,,,,,top 3,
yellow leaves,US,long,es-MX kw,,,,,,,,,,top 3,problem search - high intent
plant sick,US,long,es-MX kw,,,,,,,,,,top 3,
dying plant,US,long,es-MX kw,,,,,,,,,,top 3,
watering reminder,US,long,es-MX kw,,,,,,,,,,top 5,
plant journal,US,long,es-MX kw,,,,,,,,,,top 3,
poisonous plant,US,long,es-MX kw,,,,,,,,,,top 5,
edible plant,US,long,es-MX kw,,,,,,,,,,top 5,
succulent identifier,US,long,en-US kw+name,,,,,,,,,,top 3,
houseplant care,US,long,en-US kw+subtitle,,,,,,,,,,top 5,
cactus identifier,US,long,en-US kw+name,,,,,,,,,,top 3,
plant identifier,UK,head,en-GB name,,,,,,,,,,top 10,
weed identifier,UK,mid,en-GB subtitle,,,,,,,,,,top 3,leads UK subtitle
flower identifier,UK,mid,en-GB subtitle,,,,,,,,,,top 5,
tree identifier,UK,mid,en-GB subtitle,,,,,,,,,,top 5,
wildflower identifier,UK,long,en-GB kw+subtitle,,,,,,,,,,top 3,UK-specific gap
allotment,UK,long,en-GB kw,,,,,,,,,,top 5,near-zero competition
toadstool,UK,long,en-GB kw,,,,,,,,,,top 3,UK-specific gap
hedge plant,UK,long,en-GB kw,,,,,,,,,,top 3,
meadow flower,UK,long,en-GB kw+subtitle,,,,,,,,,,top 3,
lawn weed,UK,long,en-AU kw+en-GB subtitle,,,,,,,,,,top 3,
plant care,UK,mid,en-AU kw,,,,,,,,,,top 10,
plant disease,UK,mid,en-AU kw,,,,,,,,,,top 10,
poisonous berry,UK,long,en-AU kw,,,,,,,,,,top 3,
ivy identifier,UK,long,en-AU kw+en-GB subtitle,,,,,,,,,,top 3,
identification plante,FR,head,fr-FR name,,,,,,,,,,top 10,
reconnaitre plante,FR,head,fr-FR name+subtitle,,,,,,,,,,top 10,
reconnaitre fleur,FR,mid,fr-FR subtitle,,,,,,,,,,top 5,
identifier arbre,FR,mid,fr-FR name+subtitle,,,,,,,,,,top 5,
champignon,FR,mid,fr-FR kw,,,,,,,,,,top 10,
mauvaise herbe,FR,long,fr-FR kw,,,,,,,,,,top 3,
soin des plantes,FR,long,fr-FR kw,,,,,,,,,,top 5,
maladie plante,FR,long,fr-FR kw,,,,,,,,,,top 3,
arrosage plante,FR,long,fr-FR kw+name,,,,,,,,,,top 3,
plant identifier,FR,mid,en-US kw (secondary index),,,,,,,,,,top 10,English searches in France
plant identifier,CA,head,en-US name (secondary index),,,,,,,,,,top 10,en-US indexes in Canada
snap plant photo,CA,long,en-CA subtitle,,,,,,,,,,top 3,
hardiness zone,CA,long,en-CA kw,,,,,,,,,,top 3,CA-specific gap
frost hardy plant,CA,long,en-CA kw,,,,,,,,,,top 3,
perennial identifier,CA,long,en-CA kw+name,,,,,,,,,,top 3,
orchid care,CA,long,en-CA kw,,,,,,,,,,top 5,
bonsai identifier,CA,long,en-CA kw+name,,,,,,,,,,top 3,
wilting plant,CA,long,en-CA kw,,,,,,,,,,top 3,
pflanzen bestimmen,DE,head,de-DE name,,,,,,,,,,top 10,German head term
blumen erkennen,DE,mid,de-DE subtitle,,,,,,,,,,top 5,
pilze bestimmen,DE,mid,de-DE subtitle+name,,,,,,,,,,top 5,mushroom foraging huge in DE
unkraut bestimmen,DE,long,de-DE kw+name,,,,,,,,,,top 3,
zimmerpflanze,DE,long,de-DE kw,,,,,,,,,,top 5,
giftige pflanzen,DE,long,de-DE kw+name,,,,,,,,,,top 3,
planten herkennen,NL,head,nl-NL name,,,,,,,,,,top 10,Dutch head term
onkruid herkennen,NL,mid,nl-NL subtitle+name,,,,,,,,,,top 3,
paddenstoel,NL,mid,nl-NL kw,,,,,,,,,,top 5,
kamerplant verzorging,NL,long,nl-NL kw,,,,,,,,,,top 3,
plant identifier,NL,mid,en-GB (secondary index),,,,,,,,,,top 10,Dutch search in English a lot
تحديد النباتات,AR,head,ar name,,,,,,,,,,top 10,Arabic head term
معرفة النباتات,AR,head,ar name (stem),,,,,,,,,,top 10,
نباتات منزلية,AR,mid,ar kw combo,,,,,,,,,,top 5,houseplants
عناية بالنباتات,AR,mid,ar kw combo,,,,,,,,,,top 5,plant care
صبار,AR,long,ar kw,,,,,,,,,,top 3,cactus - Gulf climate
مرض النبات,AR,long,ar kw combo,,,,,,,,,,top 3,plant disease
植物図鑑,JP,head,ja name,,,,,,,,,,top 10,Japanese head term (zukan)
花の名前,JP,head,ja name,,,,,,,,,,top 10,flower name intent phrase
植物 名前,JP,head,ja name,,,,,,,,,,top 10,
キノコ 判定,JP,mid,ja subtitle,,,,,,,,,,top 5,seasonal autumn spike
雑草 名前,JP,mid,ja subtitle+name,,,,,,,,,,top 3,
観葉植物,JP,mid,ja kw,,,,,,,,,,top 10,houseplant
多肉植物,JP,mid,ja kw,,,,,,,,,,top 5,succulent
花言葉,JP,mid,ja kw,,,,,,,,,,top 10,hanakotoba - huge adjacent search
水やり,JP,long,ja kw,,,,,,,,,,top 3,watering
盆栽,JP,long,ja kw,,,,,,,,,,top 10,bonsai
家庭菜園,JP,long,ja kw,,,,,,,,,,top 5,home vegetable garden
